instance,start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
N-t65b11xx_150,Random,Transpose,First-improvement,4321260,0.000000,+33.0435
N-t65b11xx_150,Random,Transpose,Best-improvement,4336920,0.000000,+32.8009
N-t65b11xx_150,Random,Exchange,First-improvement,6288862,3.406000,+2.5562
N-t65b11xx_150,Random,Exchange,Best-improvement,6155506,0.609000,+4.6225
N-t65b11xx_150,Random,Insert,First-improvement,6357867,2.594000,+1.4870
N-t65b11xx_150,Random,Insert,Best-improvement,6298106,0.546000,+2.4130
N-t65b11xx_150,CW,Transpose,First-improvement,5358202,0.000000,+16.9765
N-t65b11xx_150,CW,Transpose,Best-improvement,5368063,0.000000,+16.8237
N-t65b11xx_150,CW,Exchange,First-improvement,6289715,2.110000,+2.5430
N-t65b11xx_150,CW,Exchange,Best-improvement,6273353,0.562000,+2.7965
N-t65b11xx_150,CW,Insert,First-improvement,6313937,1.657000,+2.1677
N-t65b11xx_150,CW,Insert,Best-improvement,6331977,0.453000,+1.8882
N-t65b11xx_250,Random,Transpose,First-improvement,10983195,0.000000,+36.4178
N-t65b11xx_250,Random,Transpose,Best-improvement,11094873,0.000000,+35.7712
N-t65b11xx_250,Random,Exchange,First-improvement,16760124,30.047000,+2.9748
N-t65b11xx_250,Random,Exchange,Best-improvement,16567664,4.266000,+4.0890
N-t65b11xx_250,Random,Insert,First-improvement,16780305,23.375000,+2.8580
N-t65b11xx_250,Random,Insert,Best-improvement,16880766,4.250000,+2.2764
N-t65b11xx_250,CW,Transpose,First-improvement,14209759,0.000000,+17.7390
N-t65b11xx_250,CW,Transpose,Best-improvement,14206807,0.000000,+17.7561
N-t65b11xx_250,CW,Exchange,First-improvement,16881483,28.172000,+2.2723
N-t65b11xx_250,CW,Exchange,Best-improvement,16685819,3.906000,+3.4050
N-t65b11xx_250,CW,Insert,First-improvement,16922940,18.375000,+2.0323
N-t65b11xx_250,CW,Insert,Best-improvement,16920396,3.750000,+2.0470
N-t65d11xx_150,Random,Transpose,First-improvement,2385962,0.000000,+32.9663
N-t65d11xx_150,Random,Transpose,Best-improvement,2398550,0.000000,+32.6126
N-t65d11xx_150,Random,Exchange,First-improvement,3451744,2.875000,+3.0231
N-t65d11xx_150,Random,Exchange,Best-improvement,3436373,0.625000,+3.4550
N-t65d11xx_150,Random,Insert,First-improvement,3511088,2.453000,+1.3558
N-t65d11xx_150,Random,Insert,Best-improvement,3449880,0.625000,+3.0755
N-t65d11xx_150,CW,Transpose,First-improvement,3017902,0.000000,+15.2119
N-t65d11xx_150,CW,Transpose,Best-improvement,3026799,0.000000,+14.9620
